,hospital_only,hglm,nn
597,-2.00685,-2.8552682,-1.8804904
598,-1.9552397,-2.5737493,-1.8046728
599,-1.7998314,-2.4154248,-1.6597686
600,-1.8716823,-2.6443813,-1.8340404
601,-1.8575888,-2.483676,-1.6724184
602,-1.8783131,-2.5605717,-1.7476896
603,-1.7925446,-2.6843748,-1.8501558
604,-1.9639472,-2.7613835,-1.909533
605,-1.8964027,-2.6070051,-1.8179203
606,-2.1278343,-2.9679813,-2.0103147
607,-2.0668426,-3.0002902,-1.9605336
608,-1.8634552,-2.4315832,-1.7663131
609,-2.0238738,-2.7738047,-1.8526975
610,-2.159198,-2.8899117,-1.9221358
611,-2.0339131,-2.5605128,-1.7871678
612,-1.843325,-2.5756447,-1.7461382
613,-2.0485437,-2.9235432,-1.9221817
614,-1.8495002,-2.4182866,-1.8112557
615,-1.8788234,-2.6201818,-1.8410223
616,-1.9776736,-2.7224443,-1.847719
617,-1.9916712,-2.938278,-1.8775282
618,-1.9411854,-2.6042812,-1.7784787
619,-2.1367376,-2.9871538,-1.8806735
